pic_name,mean,粉尘能量,粉尘对比度,粉尘熵值,idm,Auto_correlation,std,,mean_s,asm_s,con_s,eng_s,idm_s,Auto_correlation_s,std_s,,mix_d,mix_s,mean_s,烟雾能量,烟雾对比度,烟雾熵值,idm_s,Auto_correlation_s,std_s,,粉尘Tglcm,烟雾Tglcm
18,0.038551807,0.385934494,0.143615723,1.623555667,0.972263112,99.38018799,24.84036172,,0.041328907,0.081152506,0.173828125,2.836159339,0.929388428,119.3659668,12.45060361,,267.3778399,449.3288083,0.032586336,0.122640453,0.403869629,2.704693696,0.89128658,73.53375244,12.68993706,,35.46506852,99.1013285
19,0.058089972,0.960883811,0.004699707,0.093996159,0.990203857,222.8963623,58.80714004,,0.053148746,0.30417458,0.094543457,1.609329183,0.965667725,187.2741699,30.55795339,,81.98905815,225.0589174,0.039999008,0.06352111,0.646484375,3.33161087,0.845465019,112.4683838,11.40346299,,10.92406339,180.5508787
20,0.058135986,0.984436035,0,0.015442213,0.9921875,223.2421875,59.52398256,,0.050531864,0.229833923,0.099182129,1.940857684,0.96005249,170.6690674,25.62507403,,96.89938221,270.2845049,0.045071125,0.087492876,0.464477539,3.007515483,0.871539144,139.7545776,14.87485928,,10.23531138,133.977373
21,0.052545547,0.426410452,0.025939941,1.062196997,0.986541748,182.8497314,34.59923259,,0.050403595,0.196026914,0.112365723,2.053808999,0.955841064,169.9450684,23.50847629,,89.51859592,298.1439312,0.036688089,0.064350806,0.571655273,3.39546849,0.902217778,104.4083862,11.54529868,,29.02196717,178.0921038
22,0.056541443,0.472797364,0.059204102,0.913537346,0.973480225,211.4559326,40.39534905,,0.039604664,0.090545326,0.260986328,2.928755239,0.913773122,109.8441162,12.68691772,,103.2780997,544.8073194,0.032211065,0.050677016,0.549133301,3.518336122,0.874482154,84.64294434,8.975861631,,26.31043788,220.4111263
23,0.035424709,0.122156523,0.128662109,2.480761332,0.945947266,87.29693604,13.2468929,,0.055313826,0.35157866,0.038696289,1.184093963,0.975402832,202.3435059,34.15524343,,364.5225902,121.9478193,0.041162252,0.05059696,1.170227051,3.645530627,0.819213516,122.3944092,10.91563096,,95.55261358,227.5702566
24,0.05349946,0.483096361,0.061218262,1.203231201,0.970336914,189.4325562,38.82419534,,0.037056684,0.089936167,0.273498535,2.988268031,0.912670898,96.96221924,11.97162465,,133.2317457,563.3317216,0.037447214,0.06519492,0.693481445,3.425232932,0.861909592,108.2167969,11.86923202,,27.32814264,177.4471639
25,0.048684835,0.217828684,0.096008301,1.988949201,0.959484863,158.850708,24.66042387,,0.048583594,0.17410476,0.6317,2.508260637,0.90829139,166.6697,23.63398389,,273.1203525,865.1155877,0.031068325,0.042370625,0.828918457,3.590010795,0.856740083,78.49975586,7.18268813,,56.8124654,262.2518071
26,0.048150778,0.140645117,0.100769043,2.342063753,0.96282959,156.8255005,19.86318976,,0.041716099,0.077035867,0.20916748,3.004554421,0.916741943,125.0748291,13.72357835,,320.9109066,501.9193359,0.040214062,0.067914471,0.400756836,3.19052398,0.879819312,116.7175293,12.15051729,,83.81894923,167.2042122
27,0.031948328,0.094721131,0.127868652,2.749997625,0.947039795,76.50848389,11.78953255,,0.039801598,0.104294077,0.219543457,2.762249669,0.931750488,109.1539307,13.45965765,,393.3963017,485.3390163,0.043474436,0.095820993,0.300109863,2.946888556,0.929504395,132.2842407,15.12095355,,120.6017384,122.0968058
28,0.04088378,0.089188144,0.117980957,2.749648745,0.960998535,119.0318604,13.60304307,,0.042452574,0.155243307,0.140869141,2.403566591,0.949438477,122.1826172,17.62034105,,384.0270172,365.7014689,0.04161191,0.081243977,0.594055176,3.060378194,0.917053223,123.1644287,13.52962439,,127.0505798,144.3284902
29,0.044001818,0.096858054,0.116088867,2.64114379,0.956848145,135.7142334,15.63505241,,0.042905807,0.126601756,0.115234375,2.422480839,0.953796387,126.2241211,15.78221952,,370.5174407,344.8222833,0.049488306,0.165823556,0.2109375,2.409674817,0.940655518,165.3649902,21.83295707,,117.6104737,74.46281196
30,0.058110952,0.969993331,0.001281738,0.060904203,0.991546631,223.0477295,59.08538452,,0.037047625,0.087948412,0.148132324,2.737849644,0.944055176,98.58825684,10.81665462,,89.62717445,413.1224475,0.043468714,0.097731538,0.267272949,2.923079058,0.937585449,131.8456421,15.14669602,,10.62668763,119.6092403
