pic_name,mean_s,asm_s,con_s,eng_s,idm_s,Auto_correlation_s,std_s
1.png,0.04658865928649902,0.20343796908855438,0.88421630859375,2.4470203179010044,0.9114662904104261,161.53125,26.05408235522347
10.png,0.020048856735229492,0.11048367619514465,0.49310302734375,2.840120644326893,0.861859114288745,30.702880859375,5.616310449261065
11.png,0.020530223846435547,0.11393255740404129,0.4635009765625,2.812336880187547,0.8733991113723139,31.90997314453125,5.964116073984052
12.png,0.04410386085510254,0.07658194750547409,0.66265869140625,3.2246372151371143,0.8676702300887303,134.49755859375,13.703000460121702
13.png,0.03899431228637695,0.0703146904706955,1.72723388671875,3.6601122730603404,0.8076147211631615,121.0030517578125,14.205088012530636
14.png,0.03737497329711914,0.08807864785194397,0.78582763671875,3.3229345129469365,0.8574670299685381,102.8511962890625,13.89383487519452
15.png,0.04099535942077637,0.08742129057645798,1.62957763671875,3.514724449948851,0.809122447466025,130.91650390625,16.652922250067057
16.png,0.03888583183288574,0.13107061386108398,0.5665283203125,2.954491958479746,0.86110977185914,111.57672119140625,17.950043695527846
17.png,0.03684687614440918,0.11990975588560104,0.5948486328125,2.9655290258105755,0.854657547465452,104.5712890625,16.6387947068548
18.png,0.043297767639160156,0.09986160695552826,1.22381591796875,3.350940825770294,0.829709652693913,137.35919189453125,17.23444062639291
19.png,0.04520416259765625,0.1025507003068924,0.5059814453125,3.058464708556404,0.8916367474724265,142.17138671875,16.75056327647322
2.png,0.04765677452087402,0.3239058256149292,1.0107421875,1.9937836830080364,0.9296677527346615,168.81768798828125,33.26036633809897
20.png,0.044661760330200195,0.11249060183763504,0.6846923828125,3.116570526522191,0.8803857035226951,141.22784423828125,18.108392955837456
21.png,0.044225454330444336,0.11046150326728821,0.66448974609375,3.0685657539028797,0.8777857851635954,138.77069091796875,17.596788211640074
22.png,0.0430600643157959,0.07939419150352478,0.666259765625,3.2055996593283917,0.8519851029135483,135.06439208984375,15.058550944836941
23.png,0.046511173248291016,0.09825704991817474,0.63641357421875,3.098723539221264,0.8870246438419118,149.40380859375,16.7447846516647
24.png,0.0338282585144043,0.04925713688135147,0.85772705078125,3.4969191417812464,0.7982257179352626,83.75372314453125,8.111555045150313
25.png,0.03258633613586426,0.1226404532790184,0.40386962890625,2.7046936958273675,0.8912865801896708,73.53375244140625,12.68993705989147
26.png,0.03999900817871094,0.06352110952138901,0.646484375,3.3316108696843036,0.8454650186217183,112.4683837890625,11.403462991517252
27.png,0.04507112503051758,0.08749287575483322,0.4644775390625,3.007515482618385,0.8715391443730998,139.75457763671875,14.874859279311776
28.png,0.03668808937072754,0.06435080617666245,0.5716552734375,3.3954684902873504,0.9022177781250479,104.40838623046875,11.545298681326113
29.png,0.0322110652923584,0.050677016377449036,0.54913330078125,3.5183361217480575,0.8744821543563502,84.6429443359375,8.975861631005394
3.png,0.04116225242614746,0.05059695988893509,1.17022705078125,3.6455306265964547,0.8192135162208279,122.3944091796875,10.91563096492925
30.png,0.037447214126586914,0.06519491970539093,0.6934814453125,3.4252329319849983,0.8619095923074909,108.216796875,11.869232024086491
31.png,0.03106832504272461,0.04237062484025955,0.82891845703125,3.5900107949168594,0.8567400833229986,78.499755859375,7.182688129880316
32.png,0.04021406173706055,0.06791447103023529,0.4007568359375,3.190523980265343,0.8798193119026213,116.717529296875,12.150517286793884
33.png,0.043474435806274414,0.09582099318504333,0.30010986328125,2.946888555503885,0.92950439453125,132.28424072265625,15.120953553110255
34.png,0.04161190986633301,0.08124397695064545,0.59405517578125,3.060378193551104,0.91705322265625,123.1644287109375,13.529624387606734
35.png,0.04948830604553223,0.1658235564827919,0.2109375,2.4096748174602958,0.940655517578125,165.364990234375,21.832957067700978
